City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
178,Suamico,US,2022-01-23 21:02:53,44.6319,-88.0393,17.06,62,0,1.01
179,Fairbanks,US,2022-01-23 21:02:54,64.8378,-147.7164,8.6,86,86,1.01
180,Xapuri,BR,2022-01-23 21:02:54,-10.6517,-68.5044,85.89,64,31,2.95
181,Srednekolymsk,RU,2022-01-23 21:02:54,67.45,153.6833,-29.06,98,100,6.78
182,Oga,IT,2022-01-23 21:00:25,46.4631,10.347,23.97,68,4,3.83
183,Bodden Town,KY,2022-01-23 21:02:55,19.2833,-81.25,82.99,70,20,4.0
184,Faya,SA,2022-01-23 21:02:55,18.3851,42.4509,50.52,68,6,2.57
185,Rocha,UY,2022-01-23 21:01:09,-34.4833,-54.3333,76.23,84,99,8.41
186,Jumla,NP,2022-01-23 21:01:19,29.2747,82.1838,25.81,95,72,5.73
187,Petropavlovsk-Kamchatskiy,RU,2022-01-23 21:02:56,53.0452,158.6483,0.19,71,0,13.42
188,Baoshan,CN,2022-01-23 21:02:57,46.5586,131.4244,-4.31,95,14,6.15
189,Aykhal,RU,2022-01-23 21:02:57,66.0,111.5,-9.24,100,83,6.26
190,Ribeira Grande,PT,2022-01-23 21:02:58,38.5167,-28.7,59.4,67,20,10.36
191,Hamilton,US,2022-01-23 21:00:22,39.1834,-84.5333,35.19,74,100,1.99
192,Solnechnyy,RU,2022-01-23 21:02:58,50.7214,136.6319,-13.34,96,24,3.71
193,Takoradi,GH,2022-01-23 20:59:18,4.8845,-1.7554,79.2,85,5,6.82
194,Sabla,NG,2022-01-23 21:02:59,12.7525,4.7077,71.11,12,0,10.92
195,Mahebourg,MU,2022-01-23 21:02:59,-20.4081,57.7,79.09,89,40,2.3
196,Oranjemund,NA,2022-01-23 21:03:00,-28.55,16.4333,74.7,66,74,9.64
197,Alpena,US,2022-01-23 21:03:00,45.0617,-83.4327,16.18,56,20,5.99
198,Novichikha,RU,2022-01-23 21:03:01,52.204,81.3877,-10.34,100,78,2.59
199,Jizan,SA,2022-01-23 21:03:01,17.3333,42.6667,77.72,66,12,2.95
200,Kudahuvadhoo,MV,2022-01-23 21:03:01,2.6708,72.8944,80.67,72,100,9.33
201,Zhumadian,CN,2022-01-23 21:00:27,32.9794,114.0294,31.64,98,99,8.52
202,Lewistown,US,2022-01-23 21:02:15,40.5992,-77.5714,35.08,100,100,0.0
203,Gat,IL,2022-01-23 21:03:02,31.61,34.7642,51.4,100,100,2.08
204,Pangai,TO,2022-01-23 21:03:03,-19.8,-174.35,81.19,74,32,10.27
205,Phan Thiet,VN,2022-01-23 21:03:03,10.9333,108.1,71.15,89,5,4.32
206,Gogrial,SS,2022-01-23 21:03:03,8.5332,28.1004,77.47,23,8,5.26
207,Avera,US,2022-01-23 21:03:04,33.194,-82.5271,56.71,35,0,11.34
208,Mandurah,AU,2022-01-23 21:03:04,-32.55,115.7,70.21,85,1,17.18
209,Carnarvon,AU,2022-01-23 21:03:05,-24.8667,113.6333,78.78,68,2,26.69
210,Coihaique,CL,2022-01-23 21:03:05,-45.5752,-72.0662,51.26,87,100,9.37
211,Araouane,ML,2022-01-23 21:03:06,18.9048,-3.5265,66.07,12,2,11.97
212,Bajna,IN,2022-01-23 21:03:06,27.9,77.6833,48.74,93,0,5.19
213,Geraldton,AU,2022-01-23 21:03:07,-28.7667,114.6,72.01,83,0,13.8
214,Kropotkin,RU,2022-01-23 21:03:07,45.4375,40.5756,29.82,97,88,6.4
215,Vao,NC,2022-01-23 21:03:08,-22.6667,167.4833,77.36,66,11,8.28
216,San Cristobal,VE,2022-01-23 20:59:23,7.7669,-72.225,77.18,49,85,3.13
217,Chicama,PE,2022-01-23 21:03:08,-7.8447,-79.1469,79.2,63,41,10.8
218,Naron,ES,2022-01-23 21:03:09,43.5167,-8.1528,49.82,73,0,4.83
219,Manicore,BR,2022-01-23 21:03:09,-5.8092,-61.3003,77.45,85,100,1.07
220,Ugoofaaru,MV,2022-01-23 21:03:09,5.6667,73.0,81.28,60,82,9.53
221,Salalah,OM,2022-01-23 21:03:54,17.0151,54.0924,69.89,19,0,11.5
222,Biak,ID,2022-01-23 21:04:10,-0.9131,122.8766,76.5,81,63,3.31
223,Provideniya,RU,2022-01-23 21:04:11,64.3833,-173.3,10.51,85,75,8.95
224,Chokurdakh,RU,2022-01-23 21:04:11,70.6333,147.9167,-21.57,100,100,6.29
225,Mitu,CO,2022-01-23 21:00:29,1.1983,-70.1733,81.09,86,76,1.97
226,Launceston,AU,2022-01-23 21:04:12,-41.45,147.1667,66.61,67,100,1.99
227,Kuching,MY,2022-01-23 21:04:12,1.55,110.3333,77.22,94,40,3.44
228,Adrar,MR,2022-01-23 21:04:13,20.5022,-10.0711,68.97,18,3,10.89
229,Margate,GB,2022-01-23 21:04:13,51.3813,1.3862,42.96,75,100,3.0
230,Ziebice,PL,2022-01-23 21:04:14,50.6012,17.0406,35.65,97,100,3.56
231,Sistranda,NO,2022-01-23 21:04:14,63.7256,8.834,47.89,71,100,45.95
232,Palauig,PH,2022-01-23 21:04:14,15.435,119.9045,76.86,80,8,7.38
233,College,US,2022-01-23 21:04:15,64.8569,-147.8028,11.86,86,75,4.61
234,Saldanha,ZA,2022-01-23 21:04:15,-33.0117,17.9442,66.04,97,57,19.55
235,Nikolskoye,RU,2022-01-23 21:04:12,59.7035,30.7861,27.88,95,91,8.34
236,Monrovia,LR,2022-01-23 21:04:16,6.3005,-10.7969,76.77,80,0,7.94
237,Kalispell,US,2022-01-23 21:02:49,48.1958,-114.3129,36.37,88,100,3.0
238,Port Moresby,PG,2022-01-23 21:04:16,-9.4431,147.1797,77.36,85,88,4.88
239,Southbridge,US,2022-01-23 21:04:17,42.0751,-72.0334,33.78,48,95,1.01
240,Banda Aceh,ID,2022-01-23 21:04:17,5.5577,95.3222,76.32,86,81,4.54
241,Carutapera,BR,2022-01-23 21:04:18,-1.195,-46.02,78.01,91,75,6.17
242,West Wendover,US,2022-01-23 21:04:18,40.7391,-114.0733,38.66,50,3,1.39
243,Kalety,PL,2022-01-23 21:00:50,50.5627,18.8926,29.32,93,100,2.3
244,Opuwo,NA,2022-01-23 21:04:19,-18.0607,13.84,76.93,35,91,5.73
245,Saint-Joseph,RE,2022-01-23 21:04:19,-21.3667,55.6167,79.18,81,20,9.66
246,Saint George,US,2022-01-23 21:00:24,37.1041,-113.5841,59.47,33,0,1.01
247,Togur,RU,2022-01-23 21:04:20,58.3631,82.8265,-13.74,100,100,2.53
248,Broome,US,2022-01-23 20:59:24,42.2506,-75.833,30.02,73,100,4.0
249,Buala,SB,2022-01-23 21:04:20,-8.145,159.5921,83.14,78,66,5.55
250,Laguna,US,2022-01-23 21:04:21,38.421,-121.4238,68.43,65,0,3.0
251,Birao,CF,2022-01-23 21:04:21,10.2849,22.7882,71.71,19,69,6.26
252,Zlotow,PL,2022-01-23 21:00:32,53.3635,17.0408,33.24,98,100,4.45
253,La Trinidad,PH,2022-01-23 21:04:22,16.455,120.5875,58.86,89,6,3.6
254,Gashua,NG,2022-01-23 21:04:22,12.871,11.0482,66.47,15,3,9.82
255,Kaitangata,NZ,2022-01-23 21:04:22,-46.2817,169.8464,54.93,65,80,2.19
256,Muros,ES,2022-01-23 21:04:23,42.7762,-9.0603,50.85,91,0,3.83
257,Coquimbo,CL,2022-01-23 21:04:23,-29.9533,-71.3436,65.93,72,0,16.11
258,Tasiilaq,GL,2022-01-23 21:03:11,65.6145,-37.6368,17.76,51,58,13.04
259,Lamar,US,2022-01-23 21:04:24,33.6668,-95.5836,65.35,25,0,8.05
260,Muroto,JP,2022-01-23 21:04:24,33.2833,134.15,51.42,82,100,21.9
261,Lavrentiya,RU,2022-01-23 21:04:25,65.5833,-171.0,-0.85,99,100,6.51
262,Norman Wells,CA,2022-01-23 21:03:25,65.282,-126.8329,6.96,92,100,8.39
263,Alofi,NU,2022-01-23 21:04:25,-19.0595,-169.9187,84.09,79,40,8.05
